score,text
3.5,平日のランチ時12時ちょっと前に来店。既に行列は裏迄続いていたが、並ぶ事50分で店内に通されました。『神田神保町店』と比べても行列の割には回転早く感じます。(★1点☆0.5点で評価。＋－は気持ちですが、CPも考慮しての★なので絶対評価では有りません)ラーメン600円★★★☆スープ二郎の割にはカエシが薄く感じました。カラメにすべきだったかな？麺デロデロだったので硬めにすべきだった...味も粉残った感じでイマイチでした。野菜モヤシとキャベツの盛り合わせはボリューミー。小なのにこの量は流石ですね。味としては冷たいのがマイナスかな。豚脂身が少な目の豚でラッキー!味も良かったですね。適度な噛み応えでこれぞ二郎の豚って感じです。【総評】三田本店に来るのはたぶん17年振り位です。殆ど記憶に残っていませんでしたが、当時はまだカネシだったと思いますがけっこう辛かった印象しか有りません。自分の中で二郎の味ランキングをつけると、野猿≧関内→中山≧神保町の順番で好きかな。CPは他店に比べて高いと思います!!
3.6,2020年2月平日18:05往訪、15-20名の並び。18:35に券売機にて購入、18:45着丼という流れでした。ぶたラーメン(700円)をヤサイ、ニンニクでオーダー。価格は他の二郎よりお得感があります。着丼時に丼のベタベタが気になりました。▪️スープ乳化度合い高めの好みのスープ。カエシの醤油と豚骨がよく合わさったスープ、ニンニクは必須ですね。背脂も多く浮いていました。▪️麺二郎の特徴的な極太麺。茹で時間長めなのか、やや柔らかかったのが残念です。柔らかさからかきしめんのような感じです。▪️具材チャーシューが増されるぶたラーメンにしたので、分厚めなものが5枚ほど。ホロホロではなく、脂身ゾーンがはっきりしているタイプ。もやし、キャベツはシャキシャキしており美味。 盛りは他店に比べると控えめな印象。殺伐とした雰囲気と異なり、店員の方の対応にホスピタリティがあります。ラーメン二郎の本店というプレミアムを体験できました。ご馳走様。【往訪時】食べログスコア：3.77口コミ件数：869件
3.5,11:00頃訪問田町駅から歩いて訪問慶應側から歩いて店の先まで見なくて並んだので後から気づいたがかなり空いてた時みたい店内満席で並びは10名程でしたので。よくかかれてるコーナーまで並ぶってのは帰りにわかりました（笑）そして20分くらいして食券購入豚入りを購入そして提出時に少なめでと頼んだコールは野菜以外マシマシコール反応はしていた意外にも三田本店は対応良かった総帥はなんかよくわからん動きしてたが…（笑）若い店主はわりかし対応良い他店舗のあの対応の悪さはどっから来たのか謎でしたわ。仙川だけは本当に…ゴ◯で、到着うわ…おも…で、テーブル古くて傾いたwwwwやべぇ早く食わないと傾いてて溢れる…wと、思ったらギリギリ持ち堪えてました（笑）で、一口目うーん結構柔らかいですねそしてヌルヌルっとしてるかな味はマシマシ通ったかわからんがそんな濃くはないなーむしろマイルドって感じ野菜は少しシャキ感が残る程度むしろ少しクタ感があるかな？麺は少なめで頼んだが他店の大盛りはあるだろこれ！（笑）女性とかは麺半分とか頼んだ方が無難かな…頼めるかはわかりませんが…肉は豚入りを頼んだはずだが、そんな大きいチャーシューはなかったしかも脂身ある部分がなかったハズレだな〜まぁ本店は神ってよくレビュー見るが圧倒的に野猿の方がレベル高いなー二郎は野猿！！で決まりましたね未訪だったので行けて良かった〜程度。
5.0,早朝作業の後は三田二郎で朝ラー9時台ならば並んでいないかな？と期待したけど、建物の角まで並んでいましたみんな仕事は〜？総帥はバックでサポート麺上げ、盛り付け、配膳に助手３名オーダーは小ラーメン麺少なめ朝からキリッと醤油の効いたスープは眠気を吹っ飛ばしてくれる魔法の薬でした麺少なめなので、難なく完食普通でも大丈夫だったかなと後悔
3.7,昨日は、二郎インスパイア店に訪問したので、そろそろ二郎に行かないとと思っていました。2020年初二郎と言えば、三田本店でしょ。という事で訪問です。坂道を登り…うわぁ、凄い行列(泣)久々に裏口まで並んでるよ。数えると約20人待ち。普段なら絶対に並ばないのですが暖かいので接続（笑）まあ、回転も早いですからね。並んでる間に総帥が外へ。そう言えば今年77歳の喜寿を迎えるんだとか。外壁には、イベントの告知がどーん。愛されてるね。総帥♡30分後に券売機へ。ラーメンを…と思ったが、何故かぶたラーメン(700円)をポチッと。やっちゃった（笑）列が進みプラ券を店員さんに見せます。5分後に入店。総帥が目を光らせ指導してます。着席して間もなくニンニク入れますか？の確認。アブラ、カラメで〜♪着丼でーす。うわぁ、アブラが旨そう♡実食。デロデロの1歩手前のデロ麺。平打ちでモチッとしていて旨い♡スープは、非乳化でカエシは弱め。ヤサイで更に薄くなる為、カラメを頼んで正解！豚さんは、今日は大当り！！フワトロのネ申月豕♡♡♡味付けが塩っぱくてスープが薄めなので、豚さんでバランスを取っている感じ。ヤサイは、茹でたてシャキシャキ。アブラとスープと絡めて食べると良い感じ。サクッと完食。総じて…旨いか不味いかの評価は、此方には関係ない。私は、総帥の笑顔が見たくて来ているので♪これからも元気で厨房に立ち続けて欲しいなぁ。因みに、私の隣のカップルは遭難していた。女の子、麺半分なのにね…ご馳走様でした。
4.5,この日は関東出張初日、羽田空港から三田の二郎直行でオジャマしました！最寄りの駅が都営地下鉄三田駅というのも羽田から乗換なしで来れるので凄く便利。もう既に何回来たんだろう～（笑）最近は二日連荘でオジャマすることもたま～に！！完璧、二郎病です(^_^;(^^ゞこの日は夜の部PM17:00開店目標でしたが、途中仕事の関係でちょっと遅れてPM17:20到着で14人待ちにドッキング。丁度建物の折り返し地点の位置！この日は朝から二郎モードで食事制限して来たので「小ぶたラーメン　700円」の黄色いプラ券購入です。PM17:50には着席。コの字カウンターの左側券売機に近い角席です…隣との距離が近いチト座りにくい場所。。今回は夜の部訪問なのでジュニアさんオペかなっと思ったら助手さん2人体制。助手さんだけでのオペってこともたまにあるんかな？今回の助手さんは二郎の何処かの助手さんなんだろうけど、麺上げされてた方は三田本店で数回お見掛けしてた方で何方の二郎出身なのかは分かりませんでした。もう一方は多分新人さんですね！麺上げの助手さん、お客さんの麺少な目や麺半分、麺カタメなど間違いなく対応してました。麺上げを任されるんですから、もうベテランの方なのでしょう！オペに余裕が感じ取れましたね♪早速、呪文には「ニンニクマシマシ、ヤサイ」。ヤサイの盛りが一段と高いですね～（笑）ヤサイに隠れたブタを取り出しカシャ！！そこそこデカいブタが５切れ。何時もながらにハイコスパですね(^_^)これで700円とは、毎回関心させられますm(_ _)m今回の麺はデロって無い程よくカタメの麺～（笑）ある意味、三田らしくない麺ですが、平均点以上の出来！この日のスープは微乳化！トータルで満足度が高い一杯でした。この日の麺上げの助手さん近々独立するんかな？頼もしいお弟子さんが増えて今後の楽しみも増えますね(￣▽￣)ノ
5.0,"朝6時起床、6時半出撃、7時55分一ノ橋オートバイ駐車場着、8時12分到着、店内満席外並び2名に接続。んん(*ơ ᎑ ơ )??8時半開店では？シャッター客ではなさそうなのて単に口開けが早かったみたいです(๑•᎑•๑)守谷二郎の営業時間が変更になり、午後から仕事の日の朝二郎はこちらと小岩二郎しかないことを確認、25年ぶりの三田本店ですヽ(｀▽´)/これで私の二郎歴は昨年の3月末より守谷二郎…99か100回(たぶん100回)松戸二郎…2回越谷二郎…1回栃木二郎…1回川崎二郎…1回三田二郎…1回+1回(25年前)になります！25年前は確か1番金額高い物を食ってふ〜ん　　という感想でした(・∀・)守谷のすたみな太郎に行く途中に何かの拍子で守谷二郎に吸い込まれ・・・以来トリコになりました(笑)私は、二郎が好きなのではなく守谷が好きなのは間違いないのですが、今日は総本山の味を確認です！昔の記憶は全くありません( ˃̣̣̥᷄ᯅ˂̣̣̥᷅ )大豚ダブルは券売機から無くなっていることは予習しておりました、当然大豚を購入750円安いな(¬‿¬*)すげー狭い店内、必死で腹を引っ込めながらイケメン元気良し助手さまに指示された席に着席、ダメもとで高台に100円置きあの〜豚増しは大丈夫でしょうか？大丈夫ですよ！豚ダブルで！総帥にお声かけられました、大豚ダブル850円総帥・・・こちらが全二郎の頂点に君臨される大社長ですか・・・　25年前にお見かけした筈ですが全く記憶にございません。おふたりの助手さまと高らかに笑い楽しげに麺上げされてます！素晴らしい雰囲気\( *´ω`* )/○木○道店とは全く違います( ꐦ◜ω◝ )コールはいつ如何なるときもニンニクヤサイカラメ総帥がヤサイをぶちこみ上から両手で押し付けあふれたスープを捨てます、素晴らしい、これ見たかった( ;∀;)総帥自ら配膳、大豚ダブルやってきました\('∞')/\('ω')/\('д')/\('∀')/\('A')/\('w')/これが・・・総本山の・・・感無量です｡･ﾟ(´□｀)ﾟ･｡スープひとくちんん(｡◔‸◔｡)??う〜ん、うっふん(*,,ºัωºั,,)♡　これはですね、50年近く？恐らく全く変わらないブレない超クラシカルなお味なのでは⁽⁽ (♡ˊᵕˋ♡) ⁾⁾クラシカル二郎・・・そら総本山ですもの当たり前中の当たり前なんですが、じじいなのにあたらしもの好きの私は恐らく弟子二郎の方が好みですかね(笑)守谷店主さまが三田は最高の使ってるから！と仰っていた豚も、守谷の方が遥かに好み。量もさほどでは無くあっという間に食い上げいちぬけ。こちらで必死で修行を積み、出藍の誉れ高い弟子が直系店を開店する・・・総帥にとっては無上の喜びかと推察されます(* ॑꒳ ॑*  )いつまでもいつまでもお元気で素敵な二郎、提供されてくださいませ(｡˃ ᵕ ˂。)"
3.3,前回平日夜行って麺切れにあったので今回はお昼♪久々に総帥拝見しました(*´ω`*)平日昼でもやはり本店行列ー！相変わらずの大人気です♪■ラーメン小 600円ヤサイマシニンニクマシマシもーやっぱりこの味！本店が1番大好き!!やさいもくたくたで豚さんもやわらかいのに弾力あってぶりっぶりなのもいい！ニンニクゾーンから麺を引き上げてニンニクまみれの麺を頬張るしあわせー♥夢中で食べて箸噛んでました笑せっかく痩せたのにこればかりは辞められないwなんだかんだ本店が1番来てる二郎だな(*´ω`*)またいこっごちそうさまでした。
4.1,出張で田町へ。早めに到着したので、憧れの「ラーメン二郎の総本山」にて朝ラー決行。平日10時前の到着、満席だったが行列無しですぐ入れた。店内では、喜寿を迎えられた山田総師が厨房に立ち、麺上げ、盛り付けをされてる姿を確認。待望の本店、且つ総師のオペなんで「大豚ラーメン(ニンニク、野菜、脂多め)」といきたいところだったが…。昼は浅草で会食、夜は赤羽で呑みの予定が入っており、実際は以下のようなショボイオーダー、コールになってしまった。●「豚ラーメン700円(麺、ニンニク共に少なめ)」少なめでも他店では大盛クラスの「強縮れ極太剛麺」、やや乳化した「醤油豚骨スープ」「豪快な豚(塊)」「大量のモヤシ」「コッテリ脂」「生ニンニク」という「癖が凄い」者達のぶつかり合いにより完成した中毒性の高い「ジャンク」な味わいは唯一無二。特にオーション麺独特のゴワゴワ食感、少し辛めの豚が素晴らしく、かなり進化してきたとはいえ「インスパ系」とは一線を画す旨さで大満足。ホント、大阪にも出店して欲しい…。
3.8,Blog:二日酔い飯　Instagram●ラーメン二郎 三田本店一年に一回くらいは食べたくなるんですよね。三田本店の「ラーメン二郎」。ただ、とっても並ぶので”行くなら朝一だ！”ということで開店時間を調べてみるとなんと8:30！そんなに早くから二郎食べれるだろうかと思いつつ、行ってみることにしました。そうして、8:30についてみたらなんとすでに15人くらいの列！なんという朝から二郎食べる人なんかいないかと思っていたら案外いるもんですね。そして、看板が記憶と比べると心做しか新しいような……。とりあえず並んで順番を待ちます。しばらくすると開店。二郎の作法についてはよくわかってませんが・前の人が食券を買いに行ったら次自分も買いに行って・入り口で食券見せてと店員さんに言われたら見せつつ麺の量を宣言するだけでいいので、案外難しくはなかったです。前回、普通盛りでも結構多かったので（朝だし！今回は入口で食券見せたときに”麺半分！”と言っておきました。●メニューラーメン　600円ぶた入りラーメン　700円ぶたWラーメン　800円大ラーメン　650円ぶた入り大ラーメン　750円ぶた入り大Wラーメン　850円ちなみに、ラーメンに既に”ぶた（チャーシュー）”入ってるので、チャーシュー麺感覚でぶた入ラーメンにすると量が多くて辛いのでお気をつけを。大ラーメンなんてもうよくわからない領域ですね。今回はらーめんの麺半分！にしています。●らーめん（麺半分）席について暫くして麺が茹で上がると店員さんに”にんにくいれますか？”と聞かれるので、ここでほしいトッピングがあれば宣言します。が、宣言したらそれこそ食べ切れなくなりそうなので”にんにく入れてください”とだけ言っておきました^^やっぱり二郎はにんにく入れないと美味しさ大幅減だと思うんですよね。麺半分といっても、かなり圧のあるラーメン。うーん旨い。ガシガシした麺は半分で丁度普通のラーメン一杯分くらいあるかなぁとおもいます。脂が甘くて美味しいですね！このガッツリ化学調味料と豚と醤油ににんにくがめちゃめちゃ合う。この組み合わせ考えた人は天才です！ちなみに今回は総帥（と呼ばれる本店の店主）がいたので、ほんとうの意味でのラーメン二郎をいただけてよかったです。総帥ももうご高齢なのでいつまでお店に立ってくれるかもわからないので、思い出したらまた来ようかと思います。麺半分といえども、食べ終わったら満腹。結構苦しいなぁと思いながら徒歩で腹ごなしつつ次の予定へと向かうのでした。●ごちそうさまでしたなんだかんだで、食べた直後はしばらくいいかな。と思うんですが、また少しすると食べたくなる不思議な魅力のあるラーメンだと思います！普段、食べたくなったら”二郎系”と呼ばれるようなインスパイアのお店や似たようなラーメンを出すお店によく行くんですが、やっぱりたまには本店で最初の味を思い出さないとですね。
